tour,model_rank,player,entry_rank,quarterfinal_probability,hybrid_score,trend_bucket,main_evidence
WTA,89,"JIMENEZ KASINTSEVA, Victoria (AND)",103,0.0149,0.0953,stable,0-0 recent Wimbledon record; strong last-5-match form; strong grass Elo
WTA,90,"DART, Harriet (GBR)",106,0.0136,0.0874,surging,strong grass Elo; 3-5 recent Wimbledon record; strong last-5-match form
WTA,91,"ZARAZUA, Renata (MEX)",66,0.0134,0.0898,slipping,1-2 recent Wimbledon record; strong last-5-match form; strong grass Elo
WTA,92,"SELEKHMETEVA, Oksana (ESP)",85,0.0132,0.0982,slipping,0-0 recent Wimbledon record; strong grass Elo; strong last-5-match form
WTA,93,"KORPATSCH, Tamara (GER)",93,0.0130,0.0757,cooling,strong last-5-match form; 1-3 recent Wimbledon record; strong overall Elo
WTA,94,"PARKS, Alycia (USA)",75,0.0129,0.0865,improving,strong last-5-match form; 1-3 recent Wimbledon record; strong overall Elo
WTA,95,"DUDENEY, Alicia (GBR)",109,0.0129,0.0838,stable,0-0 recent Wimbledon record; strong last-5-match form; strong grass Elo
WTA,96,"ARANGO, Emiliana (COL)",95,0.0128,0.0843,surging,strong last-5-match form; 0-1 recent Wimbledon record; strong grass Elo
WTA,97,"PODOROSKA, Nadia (ARG) SR",104,0.0125,0.0801,stable,2-3 recent Wimbledon record; strong last-5-match form; strong grass Elo
WTA,98,"BLINKOVA, Anna",96,0.0118,0.0897,cooling,3-4 recent Wimbledon record; strong grass Elo; strong overall Elo
WTA,99,"SWAN, Katie (GBR)",107,0.0117,0.0589,stable,strong last-5-match form; 0-3 recent Wimbledon record; strong overall Elo
WTA,100,"TARARUDEE, Lanlana (THA)",97,0.0117,0.0977,improving,0-0 recent Wimbledon record; strong grass Elo; strong last-5-match form
WTA,101,"WALTERT, Simona (SUI)",90,0.0108,0.0815,stable,0-1 recent Wimbledon record; strong last-5-match form; strong grass Elo
WTA,102,"RAKHIMOVA, Kamilla (UZB)",81,0.0108,0.1164,improving,strong grass Elo; 2-2 recent Wimbledon record; strong last-5-match form
WTA,103,"STOJSAVLJEVIC, Mika (GBR)",110,0.0107,0.0644,improving,0-1 recent Wimbledon record; strong last-5-match form; strong grass Elo
WTA,104,"JONES, Francesca (GBR)",102,0.0100,0.0559,cooling,0-3 recent Wimbledon record; strong last-5-match form; strong overall Elo
WTA,105,"HADDAD MAIA, Beatriz (BRA)",73,0.0099,0.1300,slipping,strong grass Elo; 5-3 recent Wimbledon record; strong overall Elo
WTA,106,"SEIDEL, Ella (GER)",94,0.0097,0.0883,cooling,0-0 recent Wimbledon record; strong grass Elo; strong last-5-match form
WTA,107,"ERJAVEC, Veronika (SLO)",80,0.0093,0.0839,surging,1-1 recent Wimbledon record; strong grass Elo; strong last-5-match form
WTA,108,"KENIN, Sofia (USA)",83,0.0090,0.0971,improving,4-4 recent Wimbledon record; strong overall Elo; strong grass Elo
WTA,109,"JACQUEMOT, Elsa (FRA)",59,0.0066,0.0884,slipping,1-2 recent Wimbledon record; strong grass Elo; strong last-5-match form
WTA,110,"VIDMANOVA, Darja (CZE)",101,0.0065,0.0813,surging,0-0 recent Wimbledon record; strong grass Elo; strong last-5-match form
WTA,111,"KRAUS, Sinja (AUT)",98,0.0061,0.0736,stable,0-0 recent Wimbledon record; strong grass Elo; strong last-5-match form
